,Childhood_Obesity,Incapacity_Benefit,Unemployment,Crime,Deliberate_Fires,GCSE_points,Unauthorised_School_Absence,Dependent_children,Public_Transport_Access,Greespace_Access,Greenspace_Surface_Area,Binned_Median_Greenspace,Ranked_Greenspace,Borough_Barking and Dagenham,Borough_Barnet,Borough_Bexley,Borough_Brent,Borough_Bromley,Borough_Camden,Borough_City of London,Borough_Croydon,Borough_Ealing,Borough_Enfield,Borough_Greenwich,Borough_Hackney,Borough_Hammersmith and Fulham,Borough_Haringey,Borough_Harrow,Borough_Havering,Borough_Hillingdon,Borough_Hounslow,Borough_Islington,Borough_Kensington and Chelsea,Borough_Kingston upon Thames,Borough_Lambeth,Borough_Lewisham,Borough_Merton,Borough_Newham,Borough_Redbridge,Borough_Richmond upon Thames,Borough_Southwark,Borough_Sutton,Borough_Tower Hamlets,Borough_Waltham Forest,Borough_Wandsworth,Borough_Westminster,Total_Greenspace_High,Total_Greenspace_Low,Total_Greenspace_Medium
0,-3.1318790522861324,-1.4693513473274802,-1.378691393147499,-1.578345310334101,-0.5996979243247763,1.584895908515987,-1.5765035898098188,-1.7165507036223782,-0.3495207683289927,1.2055000835291119,1.590702772662226,1.7264562222666409,1.584280568411019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,-0.4709792545328882,-1.156430875499615,0.07574579472992123,0.6733891491436753,-0.5249052000655431,0.6462491041208726,0.2122679150168962,-0.14787212572158917,1.1130571187704579,-0.44950334721608115,-1.224942455933564,-1.3016553870962637,-1.4354043070967197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,-0.21778459459738111,1.4416624271532401,0.29584063633774443,-0.24800608969039437,-0.36032459803218125,-0.9095989741348219,0.6049317000110774,0.6919603440949367,-0.9608573836245595,0.5211372612539199,-0.03984998658429123,-0.03407378317690861,0.07443813065714981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,0.629341542883899,3.126469454570386,0.8410468976233858,1.6844265247587495,-0.2738905977064733,-1.8859718713068914,-0.26369157607658145,2.2402918032007992,1.4617317111634278,-0.7732259804823475,-0.5945741211733124,-0.03407378317690861,0.07443813065714981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.666976496790224,1.0442537282486777,1.3012066008263419,1.9313305744553801,3.7760828218212223,-1.3130857719652247,1.8823188707282226,0.8715811069185332,-0.5928003880199469,0.5445094416389266,-0.6702183213445427,-0.03407378317690861,0.07443813065714981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.4708444323404966,0.31774422169728156,0.6835372696514785,0.44579394554343427,0.6044407934713648,-0.6904037241023873,0.2728110356246194,0.1495663529708931,-0.016121793925220312,-0.1415147379861614,-0.6702183213445427,-0.03407378317690861,0.07443813065714981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,-1.0359224988115452,-0.8644526760861021,-1.0560046761652402,-1.0886950425929296,-0.4884269967937877,1.9328571062778404,-1.5334720971377185,-1.3550226540220434,-0.8304446164273641,-0.7290288211570579,0.43922994783350017,-0.03407378317690861,0.07443813065714981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,-1.663644577899193,-0.7245686813326743,-1.2725525096670254,-0.33917174197714567,-0.7396377995243987,0.27856535744418354,-0.732841046049061,-1.4090655067973512,0.49160750881285653,1.0182360508140538,1.590702772662226,1.7264562222666409,1.584280568411019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0.39576173087085303,0.011812895735557756,0.36439903710359856,-1.122941186433938,-0.10655099257035433,0.1055649395597975,0.35938375318657484,0.7023328447345009,2.8513318793380393,-1.9196868533722669,-0.5861692100431759,-0.03407378317690861,0.07443813065714981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,-1.6589294173490214,-1.3525207077128576,-1.2979892660399057,-1.5158608924949097,-0.42777179193667014,2.27889445666514,-1.3771548112623246,-1.4664627435380226,-1.052012088469098,-0.7322189981323579,0.38039556992254314,-0.03407378317690861,0.07443813065714981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
